Day,Ad,Campaign type,Campaign,Impressions,Clicks,Cost,Video played to 100%,Views,Gmail clicks to website
12/04/2018,fa19_ig_gm_text_cu_tr_s_1.jpg,Display Only,FY2019_TransferG,34,0,0,0.00%,0,0
12/04/2018,fa19_ig_gm_text_cu_tr_s_3.jpg,Display Only,FY2019_TransferG,250,10,9.73,0.00%,0,0
12/04/2018,fa19_ig_gm_text_cu_tr_s_2.jpg,Display Only,FY2019_TransferG,309,9,9.68,0.00%,0,1
12/04/2018,fa19_ig_gm_text_cu_tr_s_4.jpg,Display Only,FY2019_TransferG,157,4,2.98,0.00%,0,0
12/04/2018,fa19_ig_gm_text_cu_tr_s_1.jpg,Display Only,FY2019_TransferG,296,17,14.84,0.00%,0,0
12/05/2018,fa19_br_yt_vid_hs_uni_d_1,Video,FY2019_YouTube,2,0,0,0.00%,0,0
12/05/2018,fa19_br_yt_vid_all_uni_d_6,Video,FY2019_YouTube,146,0,7.82,42.47%,62,0
12/05/2018,fa19_br_yt_vid_all_uni_d_3,Video,FY2019_YouTube,45,0,1.48,40.00%,18,0
12/05/2018,fa19_br_yt_vid_all_uni_d_4,Video,FY2019_YouTube,"1,175",0,21.38,42.59%,500,0
12/05/2018,fa19_ig_gm_text_cu_tr_s_3.jpg,Display Only,FY2019_TransferG,13,0,0,0.00%,0,0
12/05/2018,fa19_ig_gm_text_cu_tr_s_4.jpg,Display Only,FY2019_TransferG,19,0,0,0.00%,0,0
12/05/2018,fa19_ig_gm_text_cu_tr_s_2.jpg,Display Only,FY2019_TransferG,34,0,0,0.00%,0,0
12/05/2018,fa19_ig_gm_text_cu_tr_s_1.jpg,Display Only,FY2019_TransferG,35,1,0.24,0.00%,0,0
12/05/2018,fa19_ig_gm_text_cu_tr_s_3.jpg,Display Only,FY2019_TransferG,336,12,12.78,0.00%,0,0
12/05/2018,fa19_ig_gm_text_cu_tr_s_2.jpg,Display Only,FY2019_TransferG,471,15,8.4,0.00%,0,0
12/05/2018,fa19_ig_gm_text_cu_tr_s_4.jpg,Display Only,FY2019_TransferG,303,8,7.57,0.00%,0,0
12/05/2018,fa19_ig_gm_text_cu_tr_s_1.jpg,Display Only,FY2019_TransferG,447,16,13.2,0.00%,0,0
01/01/2018,Nate_30s,Video,FY2018_YouTube,183,0,5.06,14.21%,26,0
01/01/2018,Veronica_30s,Video,FY2018_YouTube,38,0,2.19,15.79%,6,0
01/01/2018,Lauren_15s,Video,FY2018_YouTube,"1,331",2,41.61,16.40%,223,0
01/01/2018,Lauren_30s,Video,FY2018_YouTube,145,0,1.92,12.41%,18,0
01/02/2018,Nate_30s,Video,FY2018_YouTube,136,0,3.1,17.65%,23,0
01/02/2018,Veronica_30s,Video,FY2018_YouTube,36,0,3,16.67%,6,0
01/02/2018,Lauren_15s,Video,FY2018_YouTube,"1,076",2,40.92,20.09%,218,0
01/02/2018,Lauren_30s,Video,FY2018_YouTube,115,0,2,20.87%,24,0
01/03/2018,Nate_30s,Video,FY2018_YouTube,143,1,5.01,18.18%,27,0
01/03/2018,Veronica_30s,Video,FY2018_YouTube,59,0,3.83,15.25%,9,0
01/03/2018,Lauren_15s,Video,FY2018_YouTube,"1,201",0,35.93,17.97%,216,0
01/03/2018,Lauren_30s,Video,FY2018_YouTube,118,0,6.09,24.58%,29,0
01/04/2018,Nate_30s,Video,FY2018_YouTube,114,0,2.96,14.91%,17,0
01/04/2018,Veronica_30s,Video,FY2018_YouTube,14,0,1.56,14.29%,2,0
01/04/2018,Lauren_15s,Video,FY2018_YouTube,"1,172",2,41.64,17.92%,216,0
01/04/2018,Lauren_30s,Video,FY2018_YouTube,77,0,3.72,12.99%,10,0
01/05/2018,Nate_30s,Video,FY2018_YouTube,161,0,5.41,16.15%,27,0
01/05/2018,Veronica_30s,Video,FY2018_YouTube,18,0,0.22,16.67%,3,0
01/05/2018,Lauren_15s,Video,FY2018_YouTube,"1,323",0,40.74,15.95%,211,0
01/05/2018,Lauren_30s,Video,FY2018_YouTube,131,0,4.06,16.79%,23,0
01/06/2018,Nate_30s,Video,FY2018_YouTube,164,0,6.21,18.29%,30,0
01/06/2018,Veronica_30s,Video,FY2018_YouTube,30,0,0.78,16.67%,5,0
01/06/2018,Lauren_15s,Video,FY2018_YouTube,"1,228",0,39.62,18.32%,224,0
01/06/2018,Lauren_30s,Video,FY2018_YouTube,151,0,3.83,21.19%,32,0
01/07/2018,Nate_30s,Video,FY2018_YouTube,162,0,4.66,14.20%,23,0
01/07/2018,Veronica_30s,Video,FY2018_YouTube,30,0,0.43,10.00%,3,0
01/07/2018,Lauren_15s,Video,FY2018_YouTube,"1,229",1,43.71,19.35%,238,0
01/07/2018,Lauren_30s,Video,FY2018_YouTube,125,0,3.35,20.00%,26,0
01/08/2018,Nate_30s,Video,FY2018_YouTube,138,0,6.47,23.36%,32,0
01/08/2018,Veronica_30s,Video,FY2018_YouTube,28,0,0.89,14.29%,4,0
01/08/2018,Lauren_15s,Video,FY2018_YouTube,"1,174",1,36.92,21.55%,253,0
01/08/2018,Lauren_30s,Video,FY2018_YouTube,106,0,6.03,32.08%,35,0
01/09/2018,Nate_30s,Video,FY2018_YouTube,185,0,5.71,32.43%,61,0
01/09/2018,Veronica_30s,Video,FY2018_YouTube,38,0,1.33,21.05%,8,0
01/09/2018,Lauren_15s,Video,FY2018_YouTube,"1,362",1,38.68,22.60%,310,0
01/09/2018,Lauren_30s,Video,FY2018_YouTube,171,1,4.82,30.59%,53,0
01/10/2018,Nate_30s,Video,FY2018_YouTube,130,0,4.89,29.23%,38,0
01/10/2018,Veronica_30s,Video,FY2018_YouTube,34,0,0.89,34.29%,12,0
01/10/2018,Lauren_15s,Video,FY2018_YouTube,"1,056",1,41.28,25.40%,270,0
01/10/2018,Lauren_30s,Video,FY2018_YouTube,107,0,3.25,28.97%,31,0
01/11/2018,Nate_30s,Video,FY2018_YouTube,161,0,7.07,28.40%,47,0
01/11/2018,Veronica_30s,Video,FY2018_YouTube,41,0,2.75,31.71%,13,0
01/11/2018,Lauren_15s,Video,FY2018_YouTube,"1,189",0,35.97,24.03%,282,0
01/11/2018,Lauren_30s,Video,FY2018_YouTube,137,0,4.39,27.21%,36,0
01/12/2018,Nate_30s,Video,FY2018_YouTube,207,1,7.49,26.09%,56,0
01/12/2018,Veronica_30s,Video,FY2018_YouTube,41,0,0.77,24.39%,10,0
01/12/2018,Lauren_15s,Video,FY2018_YouTube,"1,507",1,38.32,21.55%,327,0
01/12/2018,Lauren_30s,Video,FY2018_YouTube,175,0,3.78,30.86%,53,0
01/13/2018,Nate_30s,Video,FY2018_YouTube,136,0,2.89,30.88%,42,0
01/13/2018,Veronica_30s,Video,FY2018_YouTube,31,0,0.37,16.67%,5,0
01/13/2018,Lauren_15s,Video,FY2018_YouTube,"1,204",1,42.56,22.66%,271,0
01/13/2018,Lauren_30s,Video,FY2018_YouTube,139,0,4.47,32.37%,46,0
01/14/2018,Nate_30s,Video,FY2018_YouTube,205,1,7.91,25.98%,55,0
01/14/2018,Veronica_30s,Video,FY2018_YouTube,32,0,0.14,9.38%,3,0
01/14/2018,Lauren_15s,Video,FY2018_YouTube,"1,551",0,38.13,21.33%,327,0
01/14/2018,Lauren_30s,Video,FY2018_YouTube,176,0,3.69,30.68%,54,0
01/15/2018,Nate_30s,Video,FY2018_YouTube,175,0,4.86,29.14%,50,0
01/15/2018,Veronica_30s,Video,FY2018_YouTube,39,1,0.88,20.51%,10,0
01/15/2018,Lauren_15s,Video,FY2018_YouTube,"1,285",1,41.56,24.65%,314,0
01/15/2018,Lauren_30s,Video,FY2018_YouTube,161,0,3.4,28.57%,46,0
01/16/2018,Nate_30s,Video,FY2018_YouTube,195,0,3.44,30.26%,59,0
01/16/2018,Veronica_30s,Video,FY2018_YouTube,43,0,1.47,12.50%,6,0
01/16/2018,Lauren_15s,Video,FY2018_YouTube,"1,491",0,42.01,23.12%,343,0
01/16/2018,Lauren_30s,Video,FY2018_YouTube,198,0,3.62,35.20%,69,0
01/17/2018,Nate_30s,Video,FY2018_YouTube,181,0,6.97,39.23%,71,0
01/17/2018,Veronica_30s,Video,FY2018_YouTube,59,0,1.03,20.34%,13,0
01/17/2018,Lauren_15s,Video,FY2018_YouTube,"1,401",0,38.02,22.86%,321,0
01/17/2018,Lauren_30s,Video,FY2018_YouTube,140,0,4.74,33.57%,47,0
01/18/2018,Nate_30s,Video,FY2018_YouTube,159,1,6.01,35.85%,58,0
01/18/2018,Veronica_30s,Video,FY2018_YouTube,34,0,1.73,32.35%,11,0
01/18/2018,Lauren_15s,Video,FY2018_YouTube,"1,079",0,37.44,23.10%,249,0
01/18/2018,Lauren_30s,Video,FY2018_YouTube,119,0,5.91,33.61%,40,0
01/19/2018,Nate_30s,Video,FY2018_YouTube,196,0,5.84,30.10%,59,0
01/19/2018,Veronica_30s,Video,FY2018_YouTube,51,0,1.19,17.65%,9,0
01/19/2018,Lauren_15s,Video,FY2018_YouTube,"1,106",0,39.42,22.33%,248,0
01/19/2018,Lauren_30s,Video,FY2018_YouTube,130,0,4.19,33.08%,43,0
01/20/2018,Nate_30s,Video,FY2018_YouTube,198,0,4.95,36.87%,74,0
01/20/2018,Veronica_30s,Video,FY2018_YouTube,41,0,1.45,19.51%,8,0
01/20/2018,Lauren_15s,Video,FY2018_YouTube,"1,213",0,39.08,21.81%,267,0
01/20/2018,Lauren_30s,Video,FY2018_YouTube,141,0,4.26,28.37%,41,0
01/21/2018,Nate_30s,Video,FY2018_YouTube,145,0,5.58,31.25%,47,0
01/21/2018,Veronica_30s,Video,FY2018_YouTube,39,0,1.23,30.77%,12,0
01/21/2018,Lauren_15s,Video,FY2018_YouTube,"1,233",0,36.85,22.66%,277,0
01/21/2018,Lauren_30s,Video,FY2018_YouTube,142,1,5.18,33.80%,49,0
01/22/2018,Nate_30s,Video,FY2018_YouTube,190,0,7.65,31.72%,62,0
01/22/2018,Veronica_30s,Video,FY2018_YouTube,36,0,0.95,19.44%,7,0
01/22/2018,Lauren_15s,Video,FY2018_YouTube,"1,304",1,36.01,22.53%,290,0
01/22/2018,Lauren_30s,Video,FY2018_YouTube,126,0,4.52,30.65%,38,0
01/23/2018,Nate_30s,Video,FY2018_YouTube,162,0,3.5,29.63%,48,0
01/23/2018,Veronica_30s,Video,FY2018_YouTube,46,0,1.38,19.57%,9,0
01/23/2018,Lauren_15s,Video,FY2018_YouTube,"1,336",1,42.41,21.17%,279,0
01/23/2018,Lauren_30s,Video,FY2018_YouTube,132,0,3.39,33.33%,42,0
01/24/2018,Nate_30s,Video,FY2018_YouTube,162,0,6.53,27.16%,43,0
01/24/2018,Veronica_30s,Video,FY2018_YouTube,43,0,0.69,13.95%,5,0
01/24/2018,Lauren_15s,Video,FY2018_YouTube,"1,320",0,41.7,22.12%,290,0
01/24/2018,Lauren_30s,Video,FY2018_YouTube,124,0,1.59,18.40%,23,0
01/25/2018,Nate_30s,Video,FY2018_YouTube,195,0,5.95,27.32%,52,0
01/25/2018,Veronica_30s,Video,FY2018_YouTube,40,0,0.79,22.50%,9,0
01/25/2018,Lauren_15s,Video,FY2018_YouTube,"1,391",0,40.44,22.01%,302,0
01/25/2018,Lauren_30s,Video,FY2018_YouTube,129,0,2.24,31.78%,40,0
01/26/2018,Nate_30s,Video,FY2018_YouTube,136,0,3.06,24.81%,32,0
01/26/2018,Veronica_30s,Video,FY2018_YouTube,40,0,1.66,37.50%,15,0
01/26/2018,Lauren_15s,Video,FY2018_YouTube,"1,161",0,43.02,21.08%,243,0
01/26/2018,Lauren_30s,Video,FY2018_YouTube,79,0,2.75,35.44%,28,0
01/27/2018,Nate_30s,Video,FY2018_YouTube,189,0,7.3,29.63%,56,0
01/27/2018,Veronica_30s,Video,FY2018_YouTube,42,0,1.55,21.43%,9,0
01/27/2018,Lauren_15s,Video,FY2018_YouTube,"1,400",0,36.47,20.70%,288,0
01/27/2018,Lauren_30s,Video,FY2018_YouTube,104,0,4.45,30.10%,31,0
01/28/2018,Nate_30s,Video,FY2018_YouTube,149,0,3.54,31.54%,46,0
01/28/2018,Veronica_30s,Video,FY2018_YouTube,26,0,0.13,11.54%,3,0
01/28/2018,Lauren_15s,Video,FY2018_YouTube,"1,032",0,44.07,23.26%,240,0
01/28/2018,Lauren_30s,Video,FY2018_YouTube,80,0,2.09,35.00%,28,0
01/29/2018,Nate_30s,Video,FY2018_YouTube,178,0,4.71,32.02%,57,0
01/29/2018,Veronica_30s,Video,FY2018_YouTube,34,1,2.58,23.53%,9,0
01/29/2018,Lauren_15s,Video,FY2018_YouTube,"1,309",2,40.48,23.22%,303,0
01/29/2018,Lauren_30s,Video,FY2018_YouTube,114,0,1.84,24.56%,28,0
01/30/2018,Nate_30s,Video,FY2018_YouTube,134,0,3.89,31.34%,43,0
01/30/2018,Veronica_30s,Video,FY2018_YouTube,33,0,1.56,20.59%,7,0
01/30/2018,Lauren_15s,Video,FY2018_YouTube,"1,224",0,42.17,23.12%,280,0
01/30/2018,Lauren_30s,Video,FY2018_YouTube,81,0,2.68,36.14%,29,0
01/31/2018,Nate_30s,Video,FY2018_YouTube,146,0,7.39,36.55%,53,0
01/31/2018,Veronica_30s,Video,FY2018_YouTube,32,0,0.48,25.00%,7,0
01/31/2018,Lauren_15s,Video,FY2018_YouTube,"1,241",0,41.26,22.05%,274,0
01/31/2018,Lauren_30s,Video,FY2018_YouTube,66,0,1.44,28.79%,19,0
02/01/2018,Nate_30s,Video,FY2018_YouTube,211,0,4.61,24.64%,51,0
02/01/2018,Veronica_30s,Video,FY2018_YouTube,51,0,1.88,21.57%,11,0
02/01/2018,Lauren_15s,Video,FY2018_YouTube,"1,496",1,40.82,24.25%,364,0
02/01/2018,Lauren_30s,Video,FY2018_YouTube,124,0,2.55,25.81%,31,0
02/02/2018,Nate_30s,Video,FY2018_YouTube,178,0,4.54,27.53%,49,0
02/02/2018,Veronica_30s,Video,FY2018_YouTube,42,0,2.83,40.48%,17,0
02/02/2018,Lauren_15s,Video,FY2018_YouTube,"1,283",0,36.86,24.26%,311,0
02/02/2018,Lauren_30s,Video,FY2018_YouTube,132,1,6.35,36.36%,49,0
02/03/2018,Nate_30s,Video,FY2018_YouTube,306,0,6.52,16.94%,52,0
02/03/2018,Veronica_30s,Video,FY2018_YouTube,64,0,1.38,25.00%,16,0
02/03/2018,Lauren_15s,Video,FY2018_YouTube,"1,569",1,37.4,21.46%,339,0
02/03/2018,Lauren_30s,Video,FY2018_YouTube,233,0,4.54,17.52%,41,0
02/04/2018,Nate_30s,Video,FY2018_YouTube,228,0,6.27,22.81%,52,0
02/04/2018,Veronica_30s,Video,FY2018_YouTube,47,0,1.68,17.02%,9,0
02/04/2018,Lauren_15s,Video,FY2018_YouTube,"1,456",0,37.88,22.87%,331,0
02/04/2018,Lauren_30s,Video,FY2018_YouTube,159,0,3.9,25.16%,40,0
02/05/2018,Nate_30s,Video,FY2018_YouTube,204,0,6.56,27.45%,56,0
02/05/2018,Veronica_30s,Video,FY2018_YouTube,35,0,0.73,17.14%,6,0
02/05/2018,Lauren_15s,Video,FY2018_YouTube,"1,267",0,41.29,25.39%,321,0
02/05/2018,Lauren_30s,Video,FY2018_YouTube,111,0,3.72,29.73%,35,0
02/06/2018,Nate_30s,Video,FY2018_YouTube,193,0,6.8,31.25%,61,0
02/06/2018,Veronica_30s,Video,FY2018_YouTube,36,0,2.52,13.89%,5,0
02/06/2018,Lauren_15s,Video,FY2018_YouTube,"1,233",0,39.1,25.71%,315,0
02/06/2018,Lauren_30s,Video,FY2018_YouTube,109,0,1.97,28.44%,31,0
02/07/2018,Nate_30s,Video,FY2018_YouTube,175,0,7.99,28.57%,50,0
02/07/2018,Veronica_30s,Video,FY2018_YouTube,35,0,0.02,2.86%,1,0
02/07/2018,Lauren_15s,Video,FY2018_YouTube,"1,237",1,38.57,25.00%,312,0
02/07/2018,Lauren_30s,Video,FY2018_YouTube,120,0,4.3,36.36%,45,0
02/08/2018,Nate_30s,Video,FY2018_YouTube,245,0,7.8,23.27%,58,0
02/08/2018,Veronica_30s,Video,FY2018_YouTube,50,0,1.05,24.49%,12,0
02/08/2018,Lauren_15s,Video,FY2018_YouTube,"1,632",1,35.88,23.76%,388,0
02/08/2018,Lauren_30s,Video,FY2018_YouTube,181,0,5.89,24.86%,45,0
02/09/2018,Nate_30s,Video,FY2018_YouTube,178,0,7.71,29.78%,53,0
02/09/2018,Veronica_30s,Video,FY2018_YouTube,58,0,1.71,18.97%,11,0
02/09/2018,Lauren_15s,Video,FY2018_YouTube,"1,379",0,33.47,23.66%,323,0
02/09/2018,Lauren_30s,Video,FY2018_YouTube,142,0,7.83,35.92%,51,0
02/10/2018,Nate_30s,Video,FY2018_YouTube,198,0,8.43,26.26%,52,0
02/10/2018,Veronica_30s,Video,FY2018_YouTube,60,0,1.93,28.33%,17,0
02/10/2018,Lauren_15s,Video,FY2018_YouTube,"1,354",0,34.85,25.52%,345,0
02/10/2018,Lauren_30s,Video,FY2018_YouTube,145,0,3.68,33.10%,48,0
02/11/2018,Nate_30s,Video,FY2018_YouTube,253,0,5.23,27.67%,70,0
02/11/2018,Veronica_30s,Video,FY2018_YouTube,53,1,1.18,35.85%,19,0
02/11/2018,Lauren_15s,Video,FY2018_YouTube,"1,672",1,39.52,22.61%,375,0
02/11/2018,Lauren_30s,Video,FY2018_YouTube,173,0,4.55,31.79%,55,0
02/12/2018,Nate_30s,Video,FY2018_YouTube,68,0,3.58,46.38%,32,0
02/12/2018,Veronica_30s,Video,FY2018_YouTube,25,0,0.91,36.00%,9,0
02/12/2018,Lauren_15s,Video,FY2018_YouTube,585,0,17.94,29.06%,167,0
02/12/2018,Lauren_30s,Video,FY2018_YouTube,39,0,1.65,43.59%,16,0
02/13/2018,Nate_30s,Video,FY2018_YouTube,186,0,7.73,26.34%,49,0
02/13/2018,Veronica_30s,Video,FY2018_YouTube,76,0,2.1,18.42%,14,0
02/13/2018,Lauren_15s,Video,FY2018_YouTube,"1,282",0,37.11,24.16%,306,0
02/13/2018,Lauren_30s,Video,FY2018_YouTube,120,0,3.82,22.50%,26,0
02/14/2018,Nate_30s,Video,FY2018_YouTube,207,0,10.86,35.27%,74,0
02/14/2018,Veronica_30s,Video,FY2018_YouTube,43,0,0.64,18.60%,8,0
02/14/2018,Lauren_15s,Video,FY2018_YouTube,"1,070",0,33.45,27.76%,296,0
02/14/2018,Lauren_30s,Video,FY2018_YouTube,119,0,4.46,35.00%,41,0
02/15/2018,Nate_30s,Video,FY2018_YouTube,242,0,10.72,31.82%,77,0
02/15/2018,Veronica_30s,Video,FY2018_YouTube,61,0,2.27,18.03%,12,0
02/15/2018,Lauren_15s,Video,FY2018_YouTube,"1,251",0,33.53,26.64%,333,0
02/15/2018,Lauren_30s,Video,FY2018_YouTube,157,0,4.07,31.21%,49,0
02/16/2018,Nate_30s,Video,FY2018_YouTube,216,1,6.94,28.70%,62,0
02/16/2018,Veronica_30s,Video,FY2018_YouTube,61,0,1.7,32.79%,20,0
02/16/2018,Lauren_15s,Video,FY2018_YouTube,"1,473",0,37.43,23.47%,343,0
02/16/2018,Lauren_30s,Video,FY2018_YouTube,145,0,3.99,24.83%,37,0
02/17/2018,Nate_30s,Video,FY2018_YouTube,252,0,7.28,26.98%,69,0
02/17/2018,Veronica_30s,Video,FY2018_YouTube,38,0,1.22,15.79%,6,0
02/17/2018,Lauren_15s,Video,FY2018_YouTube,"1,584",0,35.1,24.56%,389,0
02/17/2018,Lauren_30s,Video,FY2018_YouTube,185,0,7.04,29.73%,55,0
02/18/2018,Nate_30s,Video,FY2018_YouTube,194,1,4.12,30.93%,61,0
02/18/2018,Veronica_30s,Video,FY2018_YouTube,48,0,0.76,20.41%,10,0
02/18/2018,Lauren_15s,Video,FY2018_YouTube,"1,305",1,39.4,26.42%,345,0
02/18/2018,Lauren_30s,Video,FY2018_YouTube,128,0,4.58,35.16%,45,0
02/19/2018,Nate_30s,Video,FY2018_YouTube,223,0,4.79,36.32%,80,0
02/19/2018,Veronica_30s,Video,FY2018_YouTube,38,0,3.98,30.77%,12,0
02/19/2018,Lauren_15s,Video,FY2018_YouTube,"1,369",0,36.52,26.08%,356,0
02/19/2018,Lauren_30s,Video,FY2018_YouTube,147,0,5.22,37.41%,55,0
02/20/2018,Nate_30s,Video,FY2018_YouTube,242,0,6.67,30.99%,75,0
02/20/2018,Veronica_30s,Video,FY2018_YouTube,49,0,1.06,26.53%,13,0
02/20/2018,Lauren_15s,Video,FY2018_YouTube,"1,455",1,34.3,22.12%,322,0
02/20/2018,Lauren_30s,Video,FY2018_YouTube,155,0,8.6,30.32%,47,0
02/21/2018,Nate_30s,Video,FY2018_YouTube,186,0,5.34,29.03%,54,0
02/21/2018,Veronica_30s,Video,FY2018_YouTube,44,0,0.89,29.55%,13,0
02/21/2018,Lauren_15s,Video,FY2018_YouTube,"1,237",0,39.16,26.01%,322,0
02/21/2018,Lauren_30s,Video,FY2018_YouTube,136,0,5.11,31.85%,43,0
02/22/2018,Nate_30s,Video,FY2018_YouTube,191,0,3.13,21.99%,43,0
02/22/2018,Veronica_30s,Video,FY2018_YouTube,25,0,0.48,28.00%,7,0
02/22/2018,Lauren_15s,Video,FY2018_YouTube,"1,287",1,39.34,24.32%,314,0
02/22/2018,Lauren_30s,Video,FY2018_YouTube,170,0,7.78,30.00%,51,0
02/23/2018,Nate_30s,Video,FY2018_YouTube,178,0,5.93,30.73%,55,0
02/23/2018,Veronica_30s,Video,FY2018_YouTube,36,0,0.88,27.78%,10,0
02/23/2018,Lauren_15s,Video,FY2018_YouTube,"1,135",0,36.23,27.31%,307,0
02/23/2018,Lauren_30s,Video,FY2018_YouTube,149,0,7.49,30.87%,46,0
02/24/2018,Nate_30s,Video,FY2018_YouTube,142,0,9.4,38.30%,55,0
02/24/2018,Veronica_30s,Video,FY2018_YouTube,30,0,1.01,20.00%,6,0
02/24/2018,Lauren_15s,Video,FY2018_YouTube,"1,011",0,36.85,27.16%,274,0
02/24/2018,Lauren_30s,Video,FY2018_YouTube,120,0,4.93,33.33%,41,0
02/25/2018,Nate_30s,Video,FY2018_YouTube,206,0,7.72,26.57%,54,0
02/25/2018,Veronica_30s,Video,FY2018_YouTube,47,0,1.63,27.66%,13,0
